Unnamed: 0,text,labels
14,"Відверто кажучи, я дуже боюсь літати",0
107,"Сергій дійсно вміє викладати іноземну мову, бо в нього є великий досвід.",1
81,Власник компанії Твітер вирішив значно скоротити кількість персоналу компанії.,0
103,"Цей капелюх тобі зовсім не личить, не варто тобі його носити!",0
155,"Пітер же товстошкірий немов носоріг, його нічим не можна розворушити!",0
47,"Він запозичив в неї 50 євро, і вже три місяці не може віддати",0
24,"Бачили вчора слоненят у зоопарку, - які ж вони милі!",1
140,Ти не помилилася!,1
319,"Не знала, що твоє прізвище Даррелл.",2
175,"Мірі, як можна зробити в такому простому тексті дванадцять помилок?",0
40,Наступного разу я буду поводитись значно обережніше.,1
73,"В Єллоустоні вже досить велика популяція ведмедів, і всі вони поводяться досить миролюбно.",1
299,"Баррел незадоволений, що ми так повільно просуваємось.",0
101,"Його почерк майже неможливо зрозуміти, він пише як маленька дитина.",0
236,"Прапор піднімають під гімн США, а потім полковник Вескотт виступає з короткою промовою.",2
74,"В цій мандрівці ми їхали не більше двохсот миль на добу, і це було для нас досить комфортно.",1
264,"Не встиг я дослухати репліку, як м’яч полетів у мене з такою силою, що я вже не встигав його зловити.",0
44,"Запануємо й ми, браття, у своїй сторонці.",1
221,Голос — ось головна біда Франчески.,0
58,"Десятки міст України залишились без електропостачання, включаючи Львів, Харків та Київ",0
214,"Справжня паста (макарони) — та, що зробила власними руками її мама.",2
235,Щодня о шостій ранку на нашій авіабазі проходить церемонія підняття прапора.,2
206,"Моя нова робота кардинально відрізняється від того, що я робив цілих двадцять років до того.",1
5,"Ніяк не можу її забути, кожної ночі бачу уві сні, просто хоч плач.",0
2,"Кепську справу ти зробив, братику, от що я маю тобі сказати.",0
53,Цей собака дуже любить свого господаря й готовий віддати за нього своє життя,1
76,Олег не отримував жодної звістки від своїх друзів у Херсоні протягом трьох місяців.,0
232,"Оскільки ми з Франческою працюємо недавно, то маємо наставника.",2
331,Франческа кинулась на порятунок свого улюбленця.,1
22,"Система освіти там досить кепська, але і у нас не краще, відверто кажучи",0
311,"На перший погляд це був звичайний лісовий клоп, тільки тіло в нього було не таке широке, як у його лісового родича.",2
31,"Доста файна спідниця, тобі її хтось подарував?",1
154,Тут може допомогти тільки медичне втручання,0
229,Водимо по орбітах сателіти й космічні кораблі.,2
11,"Просто не можу дочекатися, коли я вже нарешті зможу обійняти свою кохану дружину",1
196,"Ярослав вчився в Кембриджі чотири роки, але так і не навчився нормально розмовляти англійською.",0
173,"Так, ми приймаємо вашу пропозицію",1
217,"Це може бути набір сирів, ковбас та овочів. І подається він перед основними стравами;",2
139,Ні за що!,0
186,"Маєш спитати це у Валентина, він розуміє в цьому набагато краще, ніж я",1
316,"Це означає, що на руці в тебе сидить сосновий насіннєвий клоп.",2
48,Це зворушливе відео про єнота побачили вже близько мільйона глядачів,1
181,"Теодору вже набридло слухати маячню, яку ніс його батько.",0
127,Ці фігуристи відпрацювали обов'язкову програму без жодної помилки!,1
111,З таким комп'ютером ти не зможеш опрацювати цей архів навіть за десять днів.,0
102,"В США значно менше вегетаріанських продуктів у супермаркетах, аніж у Німеччині.",0
87,Вода в цьому термосі залишається гарячою навіть через 24 години.,1
114,"В Росії ще й досі не зрозуміли, що нападати на інші країни це погана ідея.",0
193,"Сподіваюся, що ця історія матиме добрий кінець.",1
160,В нашій оселі вже третій тиждень немає гарячої води,0
213,"Піцу можна зробити з чого завгодно, але пепероні в піцу додають тільки американці;",2
249,"Краще уявіть слона в крамниці посуду, аніж двох дурноверхих, що кидаються м’ячиком у командному центрі НАСА.",0
65,"В Сполучених Штатах набагато більше різновидів білочок, аніж в Європі.",1
200,На даний час це один з найкращіх датасетів для української мови.,1
10,"Вона майже нічого не зрозуміла з усього того, що він їй казав",0
60,"Треба вже купити нову машину, але, по-перше, немає грошей, а по-друге, куди діти стару?",0
290,Відклади свої справи й працюй!».,2
88,Купувати товари на сайті Амазону - це дійсно зручно та вигідно.,1
231,"Командує базою бравий вояк, полковник Френк Норман Вескотт.",2
1,"Яка ж він вихована, порядна людина, - мені завжди дуже приємно з ним спілкуватися.",1
188,Галя розмовляє французькою майже без акценту!,1
262,М’яч знову полетів мені в голову.,2
287,Урешті-решт ми витрачаємо на просту корекцію до півтори години.,2
330,"Гостя з Вашингтона такого повороту не очікувала і в посадці Джорджіо, звісно, відмовила.",2
162,"Він вільний птах, може мандрувати куди забажає",1
28,"В нашому штаті дороги набагато кращі, аніж у сусідньому, повірте мені!",1
170,"Та ти шо, зовсім дурень?",0
227,У колонці «рік народження» стояли цифри «1992».,2
270,Активуємо зв’язок і заступаємо на зміну.,2
238,"Полковника розбирають на цитати, він породив купу відомих на авіабазі мемів.",2
244,Однак він не полишає надій зробити з мене людину.,2
303,Ти ж абсолютно все робиш без помилок і зауважень!,1
106,"Як раз зараз я, як в тому анекдоті, маю час та натхнення.",1
97,"Настає зима, дні стають коротшими, а ночі - більш холодними",0
318,"Зараз трохи потепліло, ось деякі комахи й повилазили розім’яти крила.",2
29,"Ця робота не займає багато часу, три хвилини, й ви будете вже вільні.",1
108,"Олексій не встиг приготувати їжу до повернення Тетяни, і вона розсердилася, бо була дуже голодна.",0
230,Ми перебуваємо на одній авіабазі в Новій Англії.,2
82,У Сполучених Штатах рівень злочинності значно вищий аніж в Британії.,0
274,Свої командні центри є у Європейської космічної агенції (ESA) і в космічних агенцій інших країн.,2
141,Йди звідси!,0
286,"Чессіно, я завершив, результат відіслав тобі. Будеш готова — просигналь.",2
182,Казати це саме зараз було трошки недоречно,0
323,"Біда підкралась, як завжди, непомітно.",0
42,Ще нам браття українці посміхнеться доля.,1
86,"На жаль, я ніяк не можу погодитися на вашу пропозицію",0
268,"Крім нас, у приміщенні нікого не було.",2
266,Я сидів і не ворушився.,2
202,"Я був ведучим новин на значних телеканалах, робив репортажі з найвіддаленіших закутків країни.",2
267,Зі мною все гаразд.,1
272,"У навколоземному просторі доволі багато місця, та все одно там є своєрідні магістралі й шосе, які називаються «орбіти».",2
121,Шерлок Холмс - найбільш відомий з усіх персонажів Артура Конан-Дойла,1
133,До біса вашу пропозицію!,0
146,Виховані люди не лаються російською мовою.,0
293,"Хвилин через сорок двері в командний центр відчинились, і Шерон, спеціаліст з HR, металевим голосом сказала.",2
37,"В цьому контракті багато чого не прописано, його ще треба допрацювати.",0
289,"Якби моя напарниця була звичайною людиною, їй можна було б сказати: «Франческо, ми повинні працювати швидше.",2
150,Тепер можна трошечки відпочити.,1
72,"В цьому фільмі мені найбільш сподобалась гра актора, що виконував головну роль",1
27,Майже всі його учні досягли чогось у житті.,1
298,Вона тихо заплакала.,0
327,"Він присів, потім трохи підняв черевце, розправив надкрилки й полетів.",2
18,Ти знов напився як свиня й вештався бозна де!,0
125,"Андрій дуже ретельно ставиться до своєї роботи, і завжди робить її вчасно",1
187,Що ти верзеш?,0
245,Ніколи не питайте сицилійку про тарантелу.,2
137,"Вибач, але ні",0
115,"Зробити треба багато, а часу залишилось зовсім мало.",0
189,Для мене ота математика - темний ліс.,0
19,"Непогано, братику, дуже непогано, ще трохи, й ти станеш справжнім митцем",1
292,"Франческа відчула, що щось не так.",0
185,"Берта все помічає, в неї зір як у орла!",1
304,Напарниця щиро хотіла мені допомогти.,1
167,Та він же просто акула капіталізму!,0
55,"Ірина запізнюється на заняття майже на півгодини, але не намагається навіть попередити вчителя",0
255,Але біда не приходить одна.,0
49,Настя дуже любить тварин: у неї вдома живуть троє собак та їжак,1
38,"Якщо вона вже щось вирішила, то зробить неодмінно, такий вже в неї характер.",1
248,"Вона погана, бо ви й не уявляйте собі, що могло б статись, якби хтось почав це робити в приміщенні, де повно скла.",0
56,Компанія Макдональдс нарешті остаточно вийшла з Росії,1
163,"В цих обставинах Джеймс почувається комфортно, як риба у воді",1
12,"Усі, чомусь, у захваті від книг Достоєвського, але ж він, відверто кажучи, просто графоман!",0
295,"Масивні окуляри, стягнуте в дульку волосся і чорний костюм.",2
0,Михайло Коцюбинський був таки великим українським письменником.,1
95,"Викладати онлайн набагато зручніше, аніж ходити кожного разу до університету",1
332,Невідомо кого мені було шкода більше.,1
138,Воно тобі не треба!,0
198,"Вона має кожного дня пити аспірин, бо дуже болять в неї суглоби.",0
171,Ми вимушені відхилити ваше прохання.,0
225,"Вона в нас працює, — пояснив солдатові і, звертаючись до Франчески, сказав: — Підходиш, ставиш великий і вказівний пальці сюди, на сканер.",2
281,"Джорджіо, ти неправильно витираєш стіл!",0
306,"Під час двох наступних корекцій Франческа, відклавши абсолютно всі свої справи, миттю завершувала свою частину розрахунків і сідала поряд — допомагати мені.",1
23,"Вибачте, пане вчителю, щось мені дуже болить голова сьогодні",0
310,Краса нерухомо сиділа у Франчески на руці й повільно ворушила вусиками.,2
13,"Оця латина так вже важко дається хлопчику, - все, шо він вчить, одразу забуває.",0
122,"Краще їсти цю страву гарячою, вона тоді смачніше",1
52,Іван з Марійкою провели три тижні в мальовничій Венеції,1
70,Дитина Оксани досить агресивно поводиться в дитячому садочку,0
34,"Постачання товарів досить стабільне, тож нема чого хвилюватися.",1
322,"Коли ми кудись ішли, Джорджіо тихо сидів у Франчески на лацкані, наче велика химерна брошка.",2
57,В Бостоні відсвяткували двохсоту річницю з заснування міста,1
105,В Олени зовсім не залишається часу щоб якось виховувати свою доньку.,0
116,Цей гурт отримав перше місце на міжнародному фестивалі.,1
208,"Отже, почнімо спочатку.",2
113,"Його прийняли до університету, незважаючи на низький рівень знань.",1
204,"Не питайте, як я потрапив у цю організацію.",2
234,Навчання в нас відбувається як у буддійській школі Дзен — у формі діалогів Вчителя та Учнів.,2
176,"Петро є дуже порядною людиною, як майже всі, хто народився і виріс в Ужгороді",1
92,"Данило нарешті купив собі всі книжки, які потрібні йому для курсів в цьому семестрі",1
265,Очі в напарниці стали більші за окуляри. Вона зойкнула і закрила обличчя руками.,0
210,"Її батьки емігрували сорок років тому з провінції Аґрідженто і, як усі італійці, зберегли в США шматочок своєї батьківщини.",2
4,"Чудовий ранок сьогодні, та ще й день вихідний!",1
256,"Я підняв голову і в останню мить помітив, що мені щось летить прямо в лице.",2
254,"У приміщенні стояв нестерпний сморід — Джорджіо, певно, пережив сильний стрес.",0
78,Стан здоров'я цих мавпочок значно покращився останнім часом.,1
283,"Але, як усі таланти, моя напарниця трохи неорганізована.",0
246,Краще пошукайте в інтернеті.,2
263,"Європейський футбол американці називають «соккер», а американський — просто «футбол», або «справжній футбол».",2
93,"Якщо надсилати книги поштою, вони дійдуть до адресата тільки через три тижня, якщо не більше",0
273,"Є й регулювання руху — ним займаються спеціальні командні центри, в НАСА їх кілька.",2
64,"Хоча ховрахи й маленькі, але вони дуже розумні тварини!",1
297,"Минулого понеділка розбите вікно в командному центрі, сьогодні атака Джорджіо з повітря… Тож похід до Еліс нічого доброго не обіцяв.",0
25,"Та він завжди був такий сильний та здоровий, ніби його з дитинства гартували спартанці.",1
80,Фінансування програми з єврейських штудій в нашому університеті значно скоротилося.,0
300,Це через мене — я занадто повільно працюю.,0
91,"Хоча ми досить багато мандрували у штаті Вісконсін, ми не побачили жодного борсука",0
84,Останнім часом ми майже не бачили оленів в нашому парку.,0
328,"Коли клопи літають, вони витворюють звук, який нагадує звук транспортника С-130.",2
142,Яка мила дитина!,1
166,Кожна відповідальна людина має носити маску в людних місцях.,1
194,Вони розлучилися і більше ніколи не бачилися.,0
296,Бідолашна Франческа сиділа ні жива ні мертва.,0
79,В зоопарку Омахи в цьому році народилися двоє слоненят!,1
174,"Томаше, чому в тебе такий брудний одяг?",0
258,"Вау, класна реакція! — зааплодувала напарниця.",1
131,Дуже смачно!,1
157,"Ми були в зоопарку в Денвері, але не побачили там пінгвінів",0
15,"Можу запропонувати вам філіжанку кави, та ще й тістечка до неї, якщо забажаєте",1
282,"Ти починаєш зі широкої сторони, а це нераціонально!",0
211,Справжня сицилійська піца робиться з риби й морепродуктів;,2
145,Це мені не подобається.,0
134,Красно дякую!,1
253,"Франческа, ридаючи, посадила Джорджіо собі на руку.",0
117,"Василю не подобається жодна з груп, які прийняли участь в цьому концерті.",0
219,Нормальна людина повинна за день випивати по два літри вина;,2
8,"Вони дуже люблять свою доньку, та й є за що її любити, щиро кажучи",1
21,"Кожного дня життя стає дорожчим і дорожчим, а де я маю брати гроші?",0
228,Ми з Франческою — оператори корекції траєкторій Центру керування польотами.,2
165,Цей текст не є відкритою офертою,0
85,"Хоча студенти й вчаться багато годин на день, їхній рівень володіння українською мовою все ще досить низький.",0
307,Таким чином ми витратили на обидва кейси всього півтори години.,1
143,Що тобі від мене потрібно?,0
240,"А тими, хто вже одружений, щоб могла пишатися ваша друга половинка і без проблем відпускати у п’ятницю ввечері в бар!",1
315,"Так вона робила тоді, коли чогось не розуміла або була сильно здивована.",2
195,"Боюся, що Олесь і цього разу зробить якусь дурницю.",0
164,"Я купила новий дезодорант, але щось він мені не до вподоби",0
43,Згинуть наші вороженьки як роса на сонці.,1
226,"Солдат, не відриваючи очей, дивився на свій монітор, де після процедури сканування відбитків пальців з’явилося досьє дівчини.",2
320,"Відпускати треба там, де ти його взяла. Поблизу авіабази немає хвойних дерев. Вони є тільки у вас у Віндзорі.",2
302,Ми виконуємо свою роботу вчасно!,1
147,Дідько його знає!,0
308,У нас у HR це називають «індивідуальний підхід».,2
71,"Вчені з різних країн працюють разом над цією проблемою, але досі ще не досягли успіху",0
223,"Через десять хвилин прийшов старший офіцер Баррел і довго не міг зрозуміти, чому йому дали для заповнення форму перепустки для членів родин службовців.",2
3,"Та нащо ж ви це робите, чи не бачите, що йому це зовсім не потрібно?",0
233,"Він же янгол-охоронець, він же нянька й вихователь. Звати нашу няньку професор Рассел.",2
203,Тепер я оператор корекції траєкторій Центру керування польотами Національного управління з аеронавтики США.,2
251,Першою м’ячем у мене кинула Франческа.,2
67,Маленький опосум сидить під кущем і довірливо дивиться навколо.,1
222,"Пропустивши повз вуха «дитину», Франческа стала терпляче чекати, коли її пропустять на її ж робоче місце.",2
207,За півроку цих оповідань назбиралося на книжку.,2
98,"Нам було б трохи сумно залишати Америку, бо де ще ми зможемо зустріти так багато різних тварин та птахів.",0
242,"Вескотта дуже забавляє те, що раніше я був журналістом.",2
305,"Мені ж було однаково, яким методом пришвидшити процес.",2
9,"Що ти верзеш, ти шо, зовсім здуріла?",0
278,Франческа — талановитий математик.,1
26,"Сподіваюся, до кінця цієї зими українці зможуть звільнити всю країну від русні.",1
30,Доходи цієї компанії зростають вже третій квартал поспіль.,1
156,Єва працює весь день немов бджілка,1
243,"Вескотт вважає, що, замість стати бравим солдатом армії США, я змарнував найкращі роки свого життя на журналістику.",0
126,"Речення цього філософа дуже довгі, і зміст його висловлювань не зовсім зрозумілий",0
301,"Хоч я й справді був у розпачі, бо факт залишався фактом — ми працювали повільно.",0
279,"Я впевнений на всі сто в тому, що вона побачить і виправить усі помилки, яких я теоретично можу припуститися при розрахунках корекції траєкторій.",1
312,"І був він не зеленої, а сіро-коричневої барви з темними й світлими смужками.",2
329,"З густим, соковитим басом Джорджіо заклав віраж прямо наді мною і взяв курс на одну з вашингтонських жіночок.",2
192,"Ті, хто підтримують окупацію чужої землі будь-де - кінчені мерзотники.",0
250,"На свій захист можу сказати, що ідея належала не мені.",2
224,"Баррел подивився на дівчину, гмикнув і покликав її.",2
128,Швеція відома всьому світу завдяки компанії ІКЕЯ!,1
201,Я — журналіст з двадцятирічним стажем.,2
75,Завдяки підтримці від фонду Ротшильдів Тетяна має змогу навчатися в одному з кращих університетів Сполучених Штатів.,1
6,"Марійка вийшла з дому з таким чудовим настроєм, якого в неї давно вже не було.",1
